PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,Date,Year,DOY
-27.636213,-30.742594,33.01181,-13.711162,-0.036735125,15.068811,2011-08-18,2011,230
-24.944447,-60.83285,17.761961,3.681849,6.2029586,1.2262061,2011-08-19,2011,231
-27.214642,-65.37426,10.377646,26.039196,8.736616,-8.591274,2011-08-20,2011,232
-30.500698,-51.05071,8.45245,42.00876,4.2453766,-11.958239,2011-08-21,2011,233
16.93881,-30.599741,11.62878,48.08486,5.475182,1.7290553,2011-08-22,2011,234
42.960777,-14.296735,18.946527,48.960957,3.7606018,12.532081,2011-08-23,2011,235
18.701008,-0.47404355,2.377799,49.416557,15.251677,-9.176015,2011-08-24,2011,236
21.16158,-0.5870931,20.651842,32.58929,1.1199596,0.1031134,2011-08-25,2011,237
-4.953505,-24.097649,12.028845,6.4856358,-5.8813043,-3.719995,2011-08-26,2011,238
-2.330758,-26.050062,10.161626,7.7537465,-13.958453,-10.392968,2011-08-27,2011,239
5.8295135,-16.310314,12.298322,10.523126,-21.100609,-13.939907,2011-08-28,2011,240
8.489503,-2.1710901,10.64771,6.635572,-21.624775,-17.501125,2011-08-29,2011,241
36.793377,5.130541,15.568019,8.140887,-23.195717,-11.6934395,2011-08-30,2011,242
54.503986,-9.190078,11.041176,-12.507779,-7.7520456,-16.91763,2011-08-31,2011,243
52.054306,36.19881,-41.559162,-27.527058,21.096598,-17.377234,2012-05-01,2012,122
10.136503,23.543415,-57.120903,-46.27575,12.570964,-22.605827,2012-05-02,2012,123
-4.929478,34.3725,-51.550488,-42.435146,9.362574,-34.169678,2012-05-03,2012,124
-13.998175,22.10735,-46.19928,-59.29531,-0.8892953,-22.687891,2012-05-04,2012,125
-9.25703,-8.300827,-51.502636,-73.81558,-9.041789,-0.28502887,2012-05-05,2012,126
-13.702811,-5.324748,-56.565063,-60.418182,-3.120129,-11.394037,2012-05-06,2012,127
-17.537374,13.488003,-50.842976,-51.593307,1.4706091,-27.378975,2012-05-07,2012,128
-29.595331,17.224476,-47.58905,-56.761726,-14.006808,-38.01477,2012-05-08,2012,129
17.845392,-4.8132057,-29.364248,-62.965355,-10.795281,-3.2563229,2012-05-09,2012,130
52.029274,-39.533302,-17.614117,-59.613106,-6.233289,20.537453,2012-05-10,2012,131
32.91529,-52.25861,-35.345684,-41.04695,2.6028168,4.867478,2012-05-11,2012,132
15.639342,-44.36621,-42.344063,-21.81256,-1.5046695,-8.207537,2012-05-12,2012,133
3.197498,-34.863365,-43.640053,-7.2725863,-19.90973,-9.289088,2012-05-13,2012,134
34.582966,-35.37181,-22.63973,-5.9044776,-16.708984,1.9289387,2012-05-14,2012,135
46.433388,-49.60362,-31.394411,0.091055796,2.0267317,0.63488615,2012-05-15,2012,136
72.84812,-65.26794,-31.011307,-0.03668215,12.462281,7.214824,2012-05-16,2012,137
118.93673,-57.389175,-19.186941,-1.5912015,23.612602,17.317963,2012-05-17,2012,138
123.678444,-44.561394,-23.918661,-2.4223115,28.9727,14.792734,2012-05-18,2012,139
84.66319,-19.594109,-46.882454,12.317829,29.553467,7.6272073,2012-05-19,2012,140
66.41387,0.775608,-43.174908,24.58067,6.7715373,-1.403977,2012-05-20,2012,141
79.316185,13.099801,-33.70066,33.553448,-1.7541822,8.2155075,2012-05-21,2012,142
74.847786,27.397964,-29.161058,36.328175,-10.464879,17.314405,2012-05-22,2012,143
65.97712,35.532772,-36.23582,29.906822,4.0472217,26.794802,2012-05-23,2012,144
50.129353,36.444237,-29.56541,32.513012,8.561641,28.585009,2012-05-24,2012,145
31.367456,24.55319,-11.886905,19.298225,-4.336879,34.107822,2012-05-25,2012,146
6.741417,3.8460984,1.9402903,-10.253846,0.037597194,32.596985,2012-05-26,2012,147
-4.5495687,2.9141393,-6.5590525,-16.062714,13.865385,24.49155,2012-05-27,2012,148
32.298473,19.036736,-0.3545219,-1.144821,23.23861,21.734707,2012-05-28,2012,149
20.840538,21.427929,-14.844299,-1.0266478,30.1153,5.019653,2012-05-29,2012,150
15.017662,30.918575,-26.38105,6.6223373,31.269697,-13.837723,2012-05-30,2012,151
14.63318,42.186558,-33.544857,23.783075,26.730368,-28.293188,2012-05-31,2012,152
23.567444,48.952408,-25.757534,33.372814,23.616976,-31.154463,2012-06-01,2012,153
-4.5953307,55.218338,-23.06791,14.392645,14.686547,-31.497671,2012-06-02,2012,154
-31.883142,51.47029,-8.116413,-17.55408,8.643426,-30.657984,2012-06-03,2012,155
-41.13013,55.377205,4.609017,-14.106868,0.4997165,-30.130932,2012-06-04,2012,156
-46.41864,45.76794,14.869914,-29.790592,-12.830245,-21.1041,2012-06-05,2012,157
-32.862473,12.88713,2.271569,-51.909336,-6.343501,-11.81926,2012-06-06,2012,158
-4.0165734,13.7974205,-10.191462,-37.0928,1.2300129,-24.435333,2012-06-07,2012,159
20.349417,34.917686,-12.610643,-5.3179054,-0.7192938,-27.60209,2012-06-08,2012,160
-22.09577,31.471287,-22.818113,-21.349535,0.5251836,-32.977474,2012-06-09,2012,161
-49.041,1.9123954,-23.40162,-45.904617,-2.025449,-25.281307,2012-06-10,2012,162
-69.1126,-11.982597,-31.550425,-32.225845,3.1451707,-21.96581,2012-06-11,2012,163
-79.11867,-11.274794,-35.0246,-14.744544,0.8528999,-35.4119,2012-06-12,2012,164
-65.76653,-16.266335,-26.875433,-13.1681795,-5.024094,-32.93137,2012-06-13,2012,165
-70.50893,-57.45708,-28.024187,-23.79735,3.535191,-26.839098,2012-06-14,2012,166
-80.99608,-64.96844,-33.38862,-4.836589,19.338827,-40.562363,2012-06-15,2012,167
-72.16385,-38.64503,-40.6295,3.0477057,21.733406,-45.96694,2012-06-16,2012,168
-57.92796,0.9863424,-40.57908,17.468702,2.0621626,-42.561703,2012-06-17,2012,169
-79.33657,0.281189,-26.997524,-7.1795964,-18.83119,-41.21798,2012-06-18,2012,170
-109.02772,-19.549742,-14.282609,-39.993618,-18.632946,-34.211388,2012-06-19,2012,171
-113.40286,2.743191,-9.614939,-23.441057,-12.354176,-39.189983,2012-06-20,2012,172
-135.23438,2.9486456,-7.7670074,-32.834957,-23.532133,-27.134264,2012-06-21,2012,173
-145.41074,-15.71568,-1.3203547,-44.161144,-29.142307,-10.2853775,2012-06-22,2012,174
-118.6853,3.035559,-12.103706,-10.926686,-16.687273,-23.13798,2012-06-23,2012,175
