Date/Time,Year,Month,Day,Along_Strait_Wind
2018-06-26,2018,6,26,-41.53481053042993
2018-06-27,2018,6,27,-41.84017731985331
2018-06-28,2018,6,28,-38.0649270555393
2018-06-30,2018,6,30,24.748737341529164
2018-07-01,2018,7,1,-33.94112549695428
2018-07-02,2018,7,2,-61.62892951849219
2018-07-04,2018,7,4,15.21425742266518
2018-07-05,2018,7,5,-50.228142967031545
2018-07-06,2018,7,6,-21.130913087034966
2018-07-07,2018,7,7,21.22232814498871
2018-07-10,2018,7,10,-26.21286541724774
2018-07-11,2018,7,11,-39.6029588778518
2018-07-12,2018,7,12,-49.80973490458728
2018-07-13,2018,7,13,-56.023697924765955
2018-07-14,2018,7,14,-51.19406879332062
2018-07-15,2018,7,15,-40.84398262176157
2018-07-16,2018,7,16,-42.83637201794506
2018-07-17,2018,7,17,-30.909626441250186
2018-07-18,2018,7,18,30.308625638692696
2018-07-19,2018,7,19,31.875552267539256
2018-07-20,2018,7,20,-55.05777209847689
2018-07-21,2018,7,21,-42.59646599072255
2018-07-23,2018,7,23,-30.882035640844112
2018-07-26,2018,7,26,-34.8668144332111
2018-07-28,2018,7,28,29.943700614961116
2018-07-30,2018,7,30,39.84778792366982
2018-07-31,2018,7,31,46.36443966187528
2018-08-01,2018,8,1,42.500736356719
2018-08-02,2018,8,2,38.85159322557808
2018-08-09,2018,8,9,31.875552267539256
2018-08-10,2018,8,10,34.8668144332111
2018-08-11,2018,8,11,41.53481053042994
2018-08-13,2018,8,13,-36.85920382939459
2018-08-14,2018,8,14,-32.874425037027606
2018-08-15,2018,8,15,-33.87061973511935
2018-08-18,2018,8,18,-31.878230338935857
2018-08-19,2018,8,19,-43.8325667160368
2018-08-20,2018,8,20,-42.83637201794506
2018-08-21,2018,8,21,-30.909626441250186
2018-08-24,2018,8,24,-35.86300913130284
2018-08-31,2018,8,31,40.84398262176157
2018-09-01,2018,9,1,33.58523381584866
2018-09-02,2018,9,2,-49.26221714074248
